book_per_share,cash_per_share,cluster_id,current_ratio,debt_to_equity,div_payout_ratio,marketcap,operating_margin,pb,pe_forward,peg,profit_margin,ps_t12m,roa,roe,ticker
51.355,15.528,1,3.528,34.655,0.097600006,1636264192,0.15008001,51.355,19.253502,1.48,0.17912,2.2187839,0.06957,0.23331,SXI
26.766,1.633,1,3.069,43.842,0.2969,32183767040,0.2792,26.766,29.640055,3.26,0.2149,8.014539,0.120620005,0.23933001,RMD
3.308,0.159,1,1.481,26.938,0,3240849664,0.02382,3.308,40.69231,-1.96,-0.06104,4.427959,0.00385,-0.02401,HL
0.235,0.289,1,3.969,8.385,0,30549256,-34.18746,0.235,-1.597619,0,0,41.731903,-0.42431998,-0.82983,WATT
1.982,3.21,1,2.511,1007.845,0.744,4735237632,0.16600999,1.982,19.884954,1.93,0.084180005,2.217215,0.04039,0.41137,WEN
13.732,1.324,1,1.394,63.966,0,246850512,0.00582,13.732,11.582277,0,-0.00851,0.5611476,0.00417,-0.02052,WLDN
1.965,0.237,1,1.199,77.889,0,158362672,-0.0168,1.965,15.090909,0,-0.057579998,0.3029699,-0.01204,-0.15561,ALYA
25.763,7.441,1,9.022,0.728,0,804771776,-0.0094800005,25.763,47.1,1.17,0.03162,2.176247,-0.00224,0.01323,DRQ
29.545,5.13,1,3.06,0.938,0.025999999,1201674624,0.03565,29.545,12.773744,1.89,0.02664,0.39216623,0.061539996,0.11016,CNXN
12.175,0.028,1,0.667,25.073,0.3385,3695296000,0.18205999,12.175,4.543624,-1.75,0.13508001,0.96646947,0.04314,0.07851,CPG
1.863,3.904,1,1.675,422.698,0,4164652288,-0.10026,1.863,24.01914,0,-0.28885,3.2869923,-0.0563,-1.30435,PEGA
63.317,10.41,1,4.8,17.442,0,2926946560,0.07422,63.317,27.118963,0.19,0.09984,3.0276084,0.02799,0.08409,ROG
5.481,0.49,1,1.278,125.959,0,496794688,-0.06413,5.481,11.873016,14.38,-0.07893,0.8111251,-0.02402,-0.12405,GLDD
26.729,2.776,1,0,0,0.3695,1890312320,0.35848,26.729,10.986957,0,0.26618,2.768666,0.0109399995,0.09443,TOWN
54.037,16.451,1,0,0,0.18200001,890146688,0.49907002,54.037,15.354839,0,0.35371,6.8878675,0.01289,0.10381,BFC
11.036,1.245,1,1.438,90.436,0,1161751168,0.09567001,11.036,8.355422,1.66,0.05136,0.58650607,0.050819997,0.10937,MD
1.542,1.982,1,9.937,10.234,0,500186784,-22.052229,1.542,-3.4404764,0,0,66.81629,-0.25044,-0.56346,AUTL
