MPID,Description
AOFG,"ATLAS ONE FINANCIAL GROUP, LLC"
AGCO,AUERBACH GRAYSON & COMPANY INCORPORATED
ARBI,"AUFHAUSER PARTNERS, INC."
ARGA,"AURIGA USA, LLC"
AURC,AURORA CAPITAL LLC
RBAC,"AUSDAL FINANCIAL PARTNERS, INC."
AVAP,AVALON PARTNERS
AVAT,AVATAR CAPITAL GROUP LLC
AVEN,"AVENTURA SECURITIES, LLC."
AVIL,"AVILA CAPITAL MARKETS, INC."
FFSC,"AVILA CAPITAL MARKETS, INC."
AVIS,"AVISEN SECURITIES, INC."
AVML,"AVM, L.P"
AVON,"AVONDALE PARTNERS, LLC"
AXAA,AXA ADVISORS
AXIO,"AXIOM CAPITAL MANAGEMENT, INC."
AYRE,AYRE INVESTMENTS INC
BTSI,"B & T SECURITIES, INC."
RILY,B. RILEY & CO. LLC.
BBGC,B.B. GRAHAM & CO INC
BCZC,B.C. ZIEGLER AND COMPANY
BCCS,BAC FLORIDA INVTMT CORP
BMCB,"BACKSTROM MCCARLEY BERRY & CO., LLC"
BARD,BAIRD (ROBERT W.) & CO. INCORPORATED
BPAT,"BAIRD, PATRICK & CO., INC."
BCOM,"BAKER & CO., INCORPORATED"
MSIS,BALANCE SHEET SOLUTIONS LLC
BAMC,"BALDWIN ANTHONY SECURITIES, INC."
BALL,BALLEW INVSTMT INC
BIGS,"BANC INVESTMENT GROUP, LLC"
BIMI,BANCA IMI SECURITIES CORP.
BDBS,BANCO DO BRASIL SECURITIES LLC
VOTO,"BANCO VOTORANTIM SECURITIES, INC."
BSIS,BANCORP SOUTH INVTMT SVS INC
BWIS,BANCWEST INVESTMENT SERVICES
BSTO,BANESTO SECURITIES INC.
BANF,BANIF SECURITIES INC.
BAIN,BANKERS & INVESTORS CO
PCIS,"BANKOH INVESTMENT SERVICES, INC."
PICO,BANORTE SECURITIES
BARC,BARCLAY INVESTMENTS INC
BCAP,BARCLAYS CAPITAL INC
LEHM,BARCLAYS CAPITAL INC.
BARR,BARRETT & COMPANY
BFLN,"BASIS FINANCIAL, LLC"
BSIB,"BATES SECURITIES, INC."
LMSC,"BAY COLONY SECURITIES, CO., INC."
BAYC,"BAY CREST PARTNERS, LLC"
BAYM,"BAY MUTUAL FINANCIAL, LLC"
BBTT,BB & T INVESTMENT SERVICES INC
CBIN,"BBVA COMPASS INVESTMENT SOLUTIONS, INC"
TCMC,"BBVA SECURITIES OF PUERTO RICO, INC."
LTIN,"BBVA SECURITIES, INC."
BCGS,BCG SECURITIES INC
BRCY,"BCP SECURITIES, LLC"
BEAF,BEACONSFIELD FINANCIAL SERVICES INC
BCRK,BEAR CREEK SECURITIES
BFIC,BEARD FINL SVS INC
PRCR,BEDMINSTERFINL GRP LTD
STLZ,"BEDROK SECURITIES, LLC"
CWEI,"BEECH HILL SECURITIES, INC."
BELS,"BEL AIR SECURITIES, LLC"
BNBB,"BELLAMAH, NEUHAUSER & BARRETT, INC."
BHLP,BELLE HAVEN INVESTMENTS
BHII,BELLE HAVEN INVESTMENTS LP
BMRK,BENCHMARK INVTMTS INC
BPFI,BENGAL PARTNERS LLC
BEJJ,"BENJAMIN & JEROLD BROKERAGE I, LLC"
BFEC,"BENJAMIN F. EDWARDS & COMPANY, INC."
BENJ,BENJAMIN SECURITIES INC
BEMC,"BERGHOFF & COMPANY, INC."
HERO,"BERNARD HEROLD & CO., INC."
BNDI,BERNARDI SEC INC
BSAZ,BERRY-SHINO SECURITIES INC
BFFI,BERTHEL FISHER & CO FINL SVS ICN
BFSA,BERWYN FINANCIAL SERVICES
BSTV,BESTVEST INVESTMENTS LTD
BECM,BETA CAPITAL MANAGEMENT
BETA,BETA SYSTEMS
BLFC,BETTINGER & LEECH FINANCIAL CORP.
BGCM,"BGB SECURITIES, INC."
BGCF,"BGC FINANCIAL, L.P."
EBKR,"BGC FINANCIAL, L.P."
MAXN,"BGC FINANCIAL, L.P."
BGCX,"BGC FINANCIAL, LP"
